Time	Flow_BTPS	O2	CO2	N2	MMss	SampleFlow	MMms	DelayO2	DelayMMss	(SPW_V3.2.0;DSR=Set3;T=31.18;P=959;BTPS=True;H=0;FT=30;FH=60;BT=37;BH=80;ByH=0;ManBTPS=False;ManFIC=1;FIC=True;FEC=True;CO2C=True;VS=25;Pre=24;Post=22;SFC=True;O2RTC=True;O2RT=0.03;MMssRTC=True;MMssRT=0.03;O2=0.611;CO2=0.0462;MMss=0.693)
225	0.381842834472656	19.58181	1.024949	78.45481	28.69279	-0.00356641244888306	28.92234	0.5690761	0.6470417
230	0.390862640380859	19.717	0.9177682	78.42713	28.67474	-0.00356560945510864	28.91958	0.5689228	0.6470859
235	0.399945098876953	19.84451	0.8179281	78.39979	28.65831	-0.00356498551368713	28.91692	0.5687513	0.6469265
240	0.409075500488281	19.96313	0.7253029	78.3741	28.64351	-0.00356407308578491	28.91434	0.5685771	0.6465763
245	0.418247222900391	20.07385	0.6398342	78.34914	28.63035	-0.00356313967704773	28.91189	0.5685895	0.6462286
250	0.427442138671875	20.17636	0.5617015	78.32506	28.6188	-0.0035622067451477	28.90954	0.5686232	0.646075
255	0.436631164550781	20.27066	0.49036	78.30237	28.6088	-0.00356104350090027	28.90733	0.5686927	0.6459515
260	0.445804840087891	20.35689	0.4261809	78.28058	28.60031	-0.00356014966964722	28.90526	0.5686281	0.6458668
265	0.454932769775391	20.43362	0.3691866	78.26107	28.59319	-0.00355954456329346	28.90334	0.5685847	0.6458113
270	0.463995544433594	20.50296	0.3180827	78.24306	28.5873	-0.00355876708030701	28.90158	0.5683479	0.6457556
275	0.472994903564453	20.5652	0.2733316	78.22578	28.58258	-0.00355783343315125	28.89996	0.5680593	0.6456674
280	0.481923400878906	20.62074	0.2337443	78.21001	28.57884	-0.00355698609352112	28.89849	0.5680839	0.6457144
285	0.490744659423828	20.66765	0.198906	78.19808	28.57595	-0.00355646657943726	28.89717	0.568109	0.6455648
290	0.499414123535156	20.70904	0.1693579	78.18637	28.57385	-0.0035560302734375	28.89599	0.5678228	0.6454349
295	0.507918975830078	20.74534	0.1436969	78.17587	28.57237	-0.0035556788444519	28.89492	0.5675897	0.645349
300	0.516256225585938	20.77704	0.1226486	78.16534	28.57145	-0.00355540871620178	28.89398	0.5675561	0.6453001
305	0.524454772949219	20.80136	0.1046866	78.15906	28.57091	-0.00355546259880066	28.89314	0.567687	0.6456084
310	0.532492919921875	20.82243	0.09042226	78.15234	28.5707	-0.00355534648895264	28.89239	0.5676104	0.645726
315	0.540318542480469	20.84059	0.07854011	78.14613	28.57077	-0.00355529952049255	28.89171	0.5676104	0.6456367
320	0.547911926269531	20.85272	0.06937015	78.1432	28.57099	-0.00355531191825867	28.8911	0.5673227	0.6456996
325	0.555296203613281	20.863	0.06196034	78.14037	28.57139	-0.0035548734664917	28.89052	0.5670257	0.645761
330	0.562484191894531	20.87165	0.05668071	78.13703	28.57178	-0.00355468845367432	28.89004	0.5669216	0.6458353
335	0.56948193359375	20.87895	0.0526257	78.13383	28.57228	-0.00355447435379028	28.88958	0.5668309	0.6459163
340	0.576266296386719	20.88168	0.0502175	78.13351	28.57278	-0.00355445337295532	28.88915	0.566728	0.6458078
345	0.582805725097656	20.88395	0.04910607	78.13237	28.57333	-0.00355436873435974	28.88876	0.5665982	0.645677
350	0.589121032714844	20.88582	0.04864876	78.13097	28.57386	-0.00355447268486023	28.88836	0.5664558	0.6453629
355	0.595202575683594	20.88765	0.04919898	78.12862	28.57436	-0.00355428719520569	28.888	0.5663306	0.6450706
360	0.601041320800781	20.88944	0.0501556	78.12591	28.57483	-0.00355381894111633	28.88764	0.566416	0.6448132
365	0.606638671875	20.88712	0.05174713	78.12663	28.57525	-0.00355356097221375	28.88731	0.5663555	0.6449268
370	0.612007385253906	20.88544	0.05356628	78.12649	28.57567	-0.00355327153205872	28.88701	0.5662981	0.6450383
375	0.617148193359375	20.88426	0.05553726	78.1257	28.57601	-0.00355321002006531	28.88673	0.5662222	0.644608
380	0.622051147460937	20.88354	0.0577525	78.12423	28.57633	-0.00355315327644348	28.88647	0.5661311	0.6441668
385	0.626694519042969	20.88121	0.05998869	78.12432	28.57661	-0.00355287957191467	28.88626	0.5663919	0.6439011
390	0.631065063476563	20.87948	0.06235782	78.12369	28.57686	-0.00355239486694336	28.88611	0.5664791	0.6436275
395	0.635201110839844	20.87842	0.0646567	78.12247	28.57702	-0.00355193424224854	28.88597	0.5663748	0.643332
400	0.639131286621094	20.87646	0.06685086	78.12223	28.5771	-0.00355148029327393	28.88589	0.5664209	0.6431968
405	0.642865844726563	20.875	0.06890976	78.12164	28.57716	-0.00355126786231995	28.88585	0.5664561	0.6428928
410	0.646375732421875	20.87396	0.07080712	78.1208	28.57712	-0.00355130314826965	28.88585	0.5665081	0.6426226
