Time Flow_BTPS O2 CO2 N2 MMss SampleFlow MMms DelayO2 DelayMMss
275 0.71273181 20.79073 0.15616 78.11870 28.57959 -0.00344666 29.24139 0.58214 0.66014
280 0.72095892 20.81707 0.13896 78.10966 28.57842 -0.00344657 29.23880 0.58214 0.65996
285 0.72875323 20.83982 0.12451 78.10146 28.57774 -0.00344590 29.23642 0.58177 0.65975
290 0.73613208 20.85947 0.11386 78.09257 28.57735 -0.00344489 29.23420 0.58137 0.65950
295 0.74311340 20.87355 0.10490 78.08750 28.57730 -0.00344425 29.23215 0.58126 0.65937
300 0.74970520 20.88577 0.09902 78.08125 28.57737 -0.00344372 29.23025 0.58108 0.65918
305 0.75595630 20.89641 0.09412 78.07558 28.57761 -0.00344285 29.22847 0.58067 0.65876
310 0.76189227 20.90582 0.08992 78.07042 28.57789 -0.00344213 29.22680 0.58024 0.65834
315 0.76752734 20.91136 0.08785 78.06700 28.57821 -0.00344110 29.22525 0.58002 0.65813
320 0.77287170 20.91656 0.08612 78.06356 28.57867 -0.00344002 29.22379 0.57964 0.65758
325 0.77795294 20.92153 0.08498 78.05978 28.57908 -0.00343915 29.22243 0.57929 0.65758
330 0.78279614 20.92248 0.08403 78.05978 28.57955 -0.00343829 29.22115 0.57915 0.65705
335 0.78740326 20.92371 0.08352 78.05907 28.57992 -0.00343722 29.21997 0.57910 0.65696
340 0.79177466 20.92510 0.08309 78.05811 28.58034 -0.00343597 29.21889 0.57878 0.65694
345 0.79590833 20.92659 0.08288 78.05685 28.58083 -0.00343503 29.21784 0.57850 0.65681
350 0.79984375 20.92612 0.08270 78.05750 28.58123 -0.00343392 29.21687 0.57837 0.65670
355 0.80361902 20.92591 0.08254 78.05786 28.58164 -0.00343288 29.21593 0.57817 0.65654
360 0.80726428 20.92588 0.08254 78.05790 28.58202 -0.00343189 29.21506 0.57792 0.65632
365 0.81077039 20.92599 0.08254 78.05779 28.58233 -0.00343094 29.21423 0.57764 0.65607
370 0.81411945 20.92626 0.08254 78.05753 28.58261 -0.00343002 29.21345 0.57764 0.65579
375 0.81732465 20.92504 0.08254 78.05873 28.58285 -0.00342910 29.21270 0.57737 0.65553
380 0.82039728 20.92415 0.08254 78.05960 28.58306 -0.00342816 29.21200 0.57732 0.65566
385 0.82335681 20.92353 0.08254 78.06022 28.58322 -0.00342770 29.21138 0.57727 0.65578
390 0.82622211 20.92331 0.08254 78.06043 28.58335 -0.00342749 29.21077 0.57701 0.65552
395 0.82897913 20.92236 0.08254 78.06137 28.58343 -0.00342708 29.21021 0.57673 0.65524
400 0.83165302 20.92169 0.08254 78.06203 28.58344 -0.00342676 29.20968 0.57663 0.65515
405 0.83426788 20.92126 0.08254 78.06246 28.58344 -0.00342632 29.20916 0.57619 0.65507
410 0.83682605 20.92031 0.08254 78.06340 28.58336 -0.00342575 29.20866 0.57574 0.65497
415 0.83933008 20.91962 0.08254 78.06409 28.58323 -0.00342556 29.20818 0.57564 0.65469
420 0.84175159 20.91915 0.08254 78.06455 28.58307 -0.00342574 29.20774 0.57554 0.65442
425 0.84406152 20.91868 0.08254 78.06500 28.58287 -0.00342583 29.20731 0.57528 0.65415
430 0.84627985 20.91805 0.08254 78.06564 28.58267 -0.00342606 29.20690 0.57498 0.65385
435 0.84841370 20.91761 0.08254 78.06606 28.58249 -0.00342645 29.20652 0.57467 0.65354
440 0.85047937 20.91735 0.08254 78.06633 28.58231 -0.00342698 29.20613 0.57438 0.65326
445 0.85247180 20.91722 0.08254 78.06645 28.58212 -0.00342791 29.20577 0.57413 0.65320
450 0.85439789 20.91722 0.08254 78.06646 28.58193 -0.00342873 29.20543 0.57392 0.65299
455 0.85622253 20.91696 0.08254 78.06671 28.58179 -0.00342943 29.20509 0.57371 0.65276
460 0.85793158 20.91683 0.08254 78.06684 28.58167 -0.00343022 29.20476 0.57382 0.65251
465 0.85950934 20.91680 0.08254 78.06687 28.58158 -0.00343132 29.20441 0.57390 0.65251
470 0.86100305 20.91665 0.08254 78.06702 28.58153 -0.00343246 29.20407 0.57360 0.65222
475 0.86244012 20.91656 0.08254 78.06710 28.58151 -0.00343337 29.20373 0.57330 0.65211
480 0.86385242 20.91650 0.08254 78.06717 28.58152 -0.00343452 29.20341 0.57319 0.65199
485 0.86521588 20.91642 0.08254 78.06724 28.58153 -0.00343564 29.20309 0.57309 0.65152
490 0.86649023 20.91613 0.08254 78.06754 28.58158 -0.00343697 29.20279 0.57301 0.65106
495 0.86764746 20.91578 0.08254 78.06788 28.58161 -0.00343800 29.20245 0.57274 0.65097
500 0.86870935 20.91534 0.08254 78.06831 28.58164 -0.00343898 29.20214 0.57274 0.65089
505 0.86969458 20.91478 0.08254 78.06886 28.58169 -0.00344014 29.20181 0.57246 0.65080
510 0.87063092 20.91407 0.08254 78.06956 28.58170 -0.00344099 29.20147 0.57220 0.65073
515 0.87154578 20.91320 0.08254 78.07043 28.58168 -0.00344177 29.20111 0.57198 0.65070
520 0.87245825 20.91216 0.08254 78.07146 28.58168 -0.00344273 29.20074 0.57180 0.65034
525 0.87336993 20.91095 0.08254 78.07265 28.58163 -0.00344338 29.20035 0.57163 0.65000
530 0.87431567 20.90958 0.08254 78.07401 28.58153 -0.00344370 29.19998 0.57167 0.64987
535 0.87528931 20.90787 0.08254 78.07569 28.58140 -0.00344417 29.19962 0.57154 0.64974
540 0.87631781 20.90606 0.08254 78.07748 28.58123 -0.00344503 29.19927 0.57141 0.64977
545 0.87738721 20.90413 0.08254 78.07939 28.58107 -0.00344556 29.19893 0.57123 0.64957
550 0.87849231 20.90209 0.08254 78.08141 28.58085 -0.00344553 29.19856 0.57100 0.64934
555 0.87964447 20.89997 0.08254 78.08350 28.58063 -0.00344567 29.19818 0.57094 0.64893
560 0.88086224 20.89778 0.08254 78.08566 28.58041 -0.00344597 29.19779 0.57091 0.64855
565 0.88218207 20.89554 0.08254 78.08788 28.58017 -0.00344593 29.19742 0.57054 0.64854
570 0.88360541 20.89327 0.08254 78.09012 28.57993 -0.00344583 29.19708 0.57018 0.64854
575 0.88511060 20.89100 0.08253 78.09236 28.57968 -0.00344567 29.19675 0.57018 0.64836
580 0.88667187 20.88875 0.08253 78.09459 28.57944 -0.00344570 29.19644 0.57018 0.64818
585 0.88825812 20.88654 0.08253 78.09678 28.57920 -0.00344571 29.19613 0.57017 0.64798
590 0.88987531 20.88438 0.08253 78.09890 28.57900 -0.00344525 29.19581 0.57015 0.64796
595 0.89153430 20.88232 0.08253 78.10094 28.57881 -0.00344508 29.19549 0.57011 0.64791
600 0.89324579 20.88035 0.08253 78.10289 28.57855 -0.00344521 29.19519 0.56969 0.64791
605 0.89500073 20.87849 0.08253 78.10472 28.57830 -0.00344569 29.19490 0.56924 0.64747
610 0.89672882 20.87696 0.08253 78.10625 28.57808 -0.00344606 29.19464 0.56893 0.64700
615 0.89839105 20.87555 0.08253 78.10764 28.57784 -0.00344662 29.19439 0.56858 0.64686
620 0.89999036 20.87430 0.08253 78.10887 28.57759 -0.00344737 29.19412 0.56840 0.64669
625 0.90154089 20.87322 0.08253 78.10993 28.57736 -0.00344835 29.19386 0.56809 0.64654
630 0.90303870 20.87235 0.08253 78.11079 28.57715 -0.00344956 29.19361 0.56781 0.64605
635 0.90443024 20.87169 0.08253 78.11145 28.57695 -0.00345101 29.19337 0.56781 0.64559
640 0.90569623 20.87125 0.08253 78.11189 28.57678 -0.00345220 29.19310 0.56735 0.64548
645 0.90683844 20.87084 0.08253 78.11228 28.57661 -0.00345332 29.19284 0.56686 0.64536
650 0.90788025 20.87067 0.08253 78.11245 28.57647 -0.00345507 29.19258 0.56673 0.64507
655 0.90882806 20.87072 0.08253 78.11241 28.57639 -0.00345692 29.19231 0.56665 0.64483
660 0.90963843 20.87115 0.08253 78.11198 28.57628 -0.00345834 29.19203 0.56645 0.64465
665 0.91027838 20.87175 0.08253 78.11139 28.57626 -0.00346000 29.19174 0.56631 0.64451
670 0.91074658 20.87252 0.08253 78.11063 28.57630 -0.00346212 29.19143 0.56617 0.64435
675 0.91108496 20.87347 0.08253 78.10969 28.57634 -0.00346390 29.19110 0.56618 0.64435
680 0.91131543 20.87479 0.08253 78.10838 28.57645 -0.00346557 29.19076 0.56615 0.64432
685 0.91142126 20.87628 0.08253 78.10691 28.57662 -0.00346684 29.19041 0.56576 0.64411
690 0.91139764 20.87796 0.08253 78.10526 28.57680 -0.00346817 29.19005 0.56538 0.64393
695 0.91127307 20.87983 0.08253 78.10341 28.57700 -0.00346928 29.18967 0.56540 0.64395
700 0.91106708 20.88189 0.08253 78.10137 28.57723 -0.00346990 29.18926 0.56544 0.64400
705 0.91075769 20.88414 0.08253 78.09914 28.57746 -0.00347072 29.18884 0.56552 0.64408
710 0.91034595 20.88658 0.08253 78.09673 28.57769 -0.00347151 29.18840 0.56525 0.64416
715 0.90985394 20.88918 0.08253 78.09416 28.57792 -0.00347180 29.18796 0.56496 0.64421
720 0.90931366 20.89193 0.08254 78.09145 28.57813 -0.00347163 29.18752 0.56499 0.64407
725 0.90870319 20.89500 0.08254 78.08841 28.57833 -0.00347098 29.18707 0.56501 0.64391
730 0.90798584 20.89817 0.08254 78.08528 28.57851 -0.00347062 29.18661 0.56486 0.64395
735 0.90714136 20.90143 0.08254 78.08206 28.57866 -0.00347008 29.18615 0.56474 0.64400
740 0.90621667 20.90475 0.08254 78.07877 28.57878 -0.00346940 29.18569 0.56464 0.64373
745 0.90525592 20.90812 0.08254 78.07544 28.57888 -0.00346838 29.18521 0.56454 0.64345
750 0.90428302 20.91152 0.08254 78.07208 28.57895 -0.00346754 29.18473 0.56443 0.64350
